poi_type,Cut_off,Effect_size,Effect_size_abs,Effect_size_abs_std,Effect_size_std,Effect_var,Effect_size_percentage,iteration
Restaurant,0.36030594248026143,-0.006414687625428994,0.01142166242462242,0.03944744573800075,0.04056361831078082,0.37994605278001714,-389.2457046543279,90
Store,0.3587893847522843,0.0016479790396468467,0.012270389669746109,0.051400665321781246,0.05281926753803068,0.3845188679678387,100.0,90
Education,0.542202457258317,-0.008077779218985715,0.03913042947963323,0.10639339998685658,0.11307296562358807,0.40158338544367744,-490.1627402200905,90
Public Transportation,0.37361437209023524,0.00034109098443920534,0.007499004667527876,0.04007136982156315,0.04076559097229453,0.3922837939452418,20.697531718140016,90
Restaurant,0.3553992170651915,-0.00614760539952495,0.010904785582798735,0.03880705221908867,0.039838531579284166,0.37413011037937177,-388.6622856360947,100
Store,0.3548877012649047,0.0015817344843386644,0.01180995805220152,0.050152163905089746,0.05149963853833151,0.37952992895647036,100.0,100
Education,0.544373293635744,-0.008609497336462777,0.04005178068979251,0.10701092806773423,0.11393577321436171,0.4000217428450701,-544.3073677477845,100
Public Transportation,0.37000483908210635,0.0002723798223537779,0.007449390139378425,0.03990806003525458,0.04059645893989433,0.38868795967604386,17.220325222134996,100
Restaurant,0.3511505380722092,-0.005464269919137661,0.010241055823950905,0.03783442582659288,0.03881320337550155,0.3687765735780872,-421.2974652748164,110
Store,0.3513805236143205,0.0012970099204307494,0.011166685598231925,0.047972402868772426,0.04923783168986902,0.37492713956678114,100.0,110
Education,0.5481179443150638,-0.009099049162945188,0.041070879683700295,0.10785586096621326,0.11505177620135386,0.39950818377463376,-701.5404446500538,110
Public Transportation,0.36657059443875617,0.0001916141693338814,0.007412672560340002,0.0397426170006547,0.040427547595144275,0.3856146769121845,14.773531513948981,110
Restaurant,0.3472549239019089,-0.005258947098081545,0.00986874725204771,0.03738463925269841,0.03830596428493581,0.36380815401783395,-306.07207802924637,120
Store,0.3481407035757428,0.0017182054410004143,0.01050714172502569,0.045751717610441854,0.04691127222318648,0.37064292122228576,100.0,120
